statement_key	factor	value	disposition	source_8_0_22	source_8_0_41	official_locator	review_status	notes
alter_database	charset_option	omitted	unchanged	references/statements/ddl/database/alter_database.md	references/statements/ddl/database/alter_database.md	https://dev.mysql.com/doc/refman/8.0/en/alter-database.html	static_reviewed	No statement factor/value change was identified in the 8.0.23-8.0.41 release boundary review.
alter_database	charset_option	utf8mb4	unchanged	references/statements/ddl/database/alter_database.md	references/statements/ddl/database/alter_database.md	https://dev.mysql.com/doc/refman/8.0/en/alter-database.html	static_reviewed	No statement factor/value change was identified in the 8.0.23-8.0.41 release boundary review.
alter_database	collation_option	omitted	unchanged	references/statements/ddl/database/alter_database.md	references/statements/ddl/database/alter_database.md	https://dev.mysql.com/doc/refman/8.0/en/alter-database.html	static_reviewed	No statement factor/value change was identified in the 8.0.23-8.0.41 release boundary review.
alter_database	collation_option	utf8mb4_0900_ai_ci	unchanged	references/statements/ddl/database/alter_database.md	references/statements/ddl/database/alter_database.md	https://dev.mysql.com/doc/refman/8.0/en/alter-database.html	static_reviewed	No statement factor/value change was identified in the 8.0.23-8.0.41 release boundary review.
alter_database	database_name_shape	explicit	unchanged	references/statements/ddl/database/alter_database.md	references/statements/ddl/database/alter_database.md	https://dev.mysql.com/doc/refman/8.0/en/alter-database.html	static_reviewed	No statement factor/value change was identified in the 8.0.23-8.0.41 release boundary review.
alter_database	database_name_shape	omitted_current	unchanged	references/statements/ddl/database/alter_database.md	references/statements/ddl/database/alter_database.md	https://dev.mysql.com/doc/refman/8.0/en/alter-database.html	static_reviewed	No statement factor/value change was identified in the 8.0.23-8.0.41 release boundary review.
alter_database	encryption_option	default	unchanged	references/statements/ddl/database/alter_database.md	references/statements/ddl/database/alter_database.md	https://dev.mysql.com/doc/refman/8.0/en/alter-database.html	static_reviewed	No statement factor/value change was identified in the 8.0.23-8.0.41 release boundary review.
alter_database	encryption_option	n	unchanged	references/statements/ddl/database/alter_database.md	references/statements/ddl/database/alter_database.md	https://dev.mysql.com/doc/refman/8.0/en/alter-database.html	static_reviewed	No statement factor/value change was identified in the 8.0.23-8.0.41 release boundary review.
alter_database	encryption_option	omitted	unchanged	references/statements/ddl/database/alter_database.md	references/statements/ddl/database/alter_database.md	https://dev.mysql.com/doc/refman/8.0/en/alter-database.html	static_reviewed	No statement factor/value change was identified in the 8.0.23-8.0.41 release boundary review.
alter_database	encryption_option	y	unchanged	references/statements/ddl/database/alter_database.md	references/statements/ddl/database/alter_database.md	https://dev.mysql.com/doc/refman/8.0/en/alter-database.html	static_reviewed	No statement factor/value change was identified in the 8.0.23-8.0.41 release boundary review.
alter_database	expected_status	failure	unchanged	references/statements/ddl/database/alter_database.md	references/statements/ddl/database/alter_database.md	https://dev.mysql.com/doc/refman/8.0/en/alter-database.html	static_reviewed	No statement factor/value change was identified in the 8.0.23-8.0.41 release boundary review.
alter_database	expected_status	success	unchanged	references/statements/ddl/database/alter_database.md	references/statements/ddl/database/alter_database.md	https://dev.mysql.com/doc/refman/8.0/en/alter-database.html	static_reviewed	No statement factor/value change was identified in the 8.0.23-8.0.41 release boundary review.
alter_database	read_only_option	default	unchanged	references/statements/ddl/database/alter_database.md	references/statements/ddl/database/alter_database.md	https://dev.mysql.com/doc/refman/8.0/en/alter-database.html	static_reviewed	No statement factor/value change was identified in the 8.0.23-8.0.41 release boundary review.
alter_database	read_only_option	omitted	unchanged	references/statements/ddl/database/alter_database.md	references/statements/ddl/database/alter_database.md	https://dev.mysql.com/doc/refman/8.0/en/alter-database.html	static_reviewed	No statement factor/value change was identified in the 8.0.23-8.0.41 release boundary review.
alter_database	read_only_option	one	unchanged	references/statements/ddl/database/alter_database.md	references/statements/ddl/database/alter_database.md	https://dev.mysql.com/doc/refman/8.0/en/alter-database.html	static_reviewed	No statement factor/value change was identified in the 8.0.23-8.0.41 release boundary review.
alter_database	read_only_option	zero	unchanged	references/statements/ddl/database/alter_database.md	references/statements/ddl/database/alter_database.md	https://dev.mysql.com/doc/refman/8.0/en/alter-database.html	static_reviewed	No statement factor/value change was identified in the 8.0.23-8.0.41 release boundary review.
alter_database	statement_branch	database_keyword	unchanged	references/statements/ddl/database/alter_database.md	references/statements/ddl/database/alter_database.md	https://dev.mysql.com/doc/refman/8.0/en/alter-database.html	static_reviewed	No statement factor/value change was identified in the 8.0.23-8.0.41 release boundary review.
alter_database	statement_branch	schema_keyword	unchanged	references/statements/ddl/database/alter_database.md	references/statements/ddl/database/alter_database.md	https://dev.mysql.com/doc/refman/8.0/en/alter-database.html	static_reviewed	No statement factor/value change was identified in the 8.0.23-8.0.41 release boundary review.
alter_event	alteration_shape	comment	unchanged	references/statements/ddl/event/alter_event.md	references/statements/ddl/event/alter_event.md	https://dev.mysql.com/doc/refman/8.0/en/alter-event.html	static_reviewed	No statement factor/value change was identified in the 8.0.23-8.0.41 release boundary review.
alter_event	alteration_shape	enable_disable	unchanged	references/statements/ddl/event/alter_event.md	references/statements/ddl/event/alter_event.md	https://dev.mysql.com/doc/refman/8.0/en/alter-event.html	static_reviewed	No statement factor/value change was identified in the 8.0.23-8.0.41 release boundary review.
alter_event	alteration_shape	rename	unchanged	references/statements/ddl/event/alter_event.md	references/statements/ddl/event/alter_event.md	https://dev.mysql.com/doc/refman/8.0/en/alter-event.html	static_reviewed	No statement factor/value change was identified in the 8.0.23-8.0.41 release boundary review.
alter_event	alteration_shape	replace_body	unchanged	references/statements/ddl/event/alter_event.md	references/statements/ddl/event/alter_event.md	https://dev.mysql.com/doc/refman/8.0/en/alter-event.html	static_reviewed	No statement factor/value change was identified in the 8.0.23-8.0.41 release boundary review.
